3 3
0 1 2
1 2 3
0 2 4
8 12
0 1 3
0 2 1
1 2 1
1 4 5
1 5 4
2 3 9
3 4 4
3 6 3
4 5 2
4 6 2
5 7 7
6 7 4
11 53
7 8 53
3 4 39
1 7 47
2 3 13
2 5 53
1 10 34
4 8 4
1 8 47
0 8 11
6 7 49
5 10 23
6 10 19
2 7 49
3 7 20
1 6 22
9 10 7
2 8 31
3 10 4
0 10 18
1 3 26
4 5 11
8 9 21
2 4 7
0 7 31
4 7 39
1 4 48
0 3 30
7 9 1
2 9 3
3 8 21
6 9 37
0 2 34
5 7 30
1 2 1
0 1 1
0 5 54
4 9 51
5 6 19
0 6 43
0 4 31
1 9 5
2 6 28
6 8 20
4 10 11
8 10 1
5 8 30
5 9 41
0 9 12
3 6 24
7 10 51
1 5 51
2 10 3
3 5 17
67 1434
45 63 324
9 20 975
13 57 994
10 63 297
7 14 682
9 30 612
5 32 704
5 35 518
20 60 602
1 53 883
1 14 773
23 40 709
21 61 507
16 62 935
32 37 595
38 65 580
3 40 581
18 31 980
41 43 428
31 59 118
5 11 36
31 43 743
9 15 128
32 47 731
58 63 236
1 45 90
42 51 40
15 19 531
42 50 86
29 41 424
2 42 141
13 48 497
14 50 907
53 65 639
14 54 800
2 34 390
14 36 635
21 48 172
35 45 288
7 13 868
27 31 65
29 40 330
12 46 233
29 49 465
23 45 54
2 32 855
2 26 857
0 51 993
16 24 445
33 61 762
0 3 493
41 52 578
17 29 793
3 7 503
2 47 811
3 18 423
23 49 930
26 64 860
25 35 393
46 48 807
2 48 365
24 50 208
27 49 483
40 43 993
6 25 639
24 37 160
6 16 776
9 13 736
33 34 800
0 32 120
45 59 885
43 56 11
5 19 225
17 53 185
33 53 479
9 52 256
48 64 262
23 39 400
14 45 799
12 33 74
30 44 696
24 51 949
46 58 892
2 22 609
7 23 581
43 46 622
14 17 523
26 59 890
53 58 95
14 65 691
9 33 600
31 46 668
7 26 971
8 40 846
11 39 209
14 31 406
48 53 709
13 23 14
21 34 128
17 60 33
1 51 396
12 24 159
42 56 538
34 56 51
20 29 258
25 62 684
5 25 937
4 9 699
17 46 982
8 59 97
5 7 457
4 41 902
26 39 878
40 62 728
0 10 564
17 23 775
18 60 467
50 58 151
14 16 85
16 65 935
41 54 662
1 62 779
2 14 413
18 21 16
0 21 721
3 37 696
0 25 868
15 48 615
32 42 728
0 62 881
8 64 491
21 65 316
10 23 345
33 38 255
13 26 278
33 39 45
7 37 794
17 41 734
19 31 652
5 8 899
3 26 558
28 31 175
7 43 781
26 56 690
0 24 941
3 10 843
21 56 49
18 38 707
12 45 333
2 11 285
26 46 770
8 10 604
1 17 950
60 65 697
10 19 425
17 21 755
16 26 447
14 15 303
12 22 638
3 62 88
24 28 609
0 42 584
17 27 167
19 21 452
1 24 810
30 40 151
0 36 456
1 25 705
8 26 571
8 21 447
8 42 850
34 62 360
12 17 363
15 44 149
4 6 283
1 44 679
27 51 804
10 51 358
6 21 19
2 3 349
5 28 580
28 48 793
27 29 945
16 17 211
10 40 521
37 45 688
26 33 800
14 33 740
7 41 432
20 27 601
5 9 438
18 53 624
9 46 82
41 65 21
2 49 337
29 59 148
46 63 996
33 43 98
33 36 570
30 41 357
31 41 788
18 52 104
15 35 755
18 26 781
0 19 526
18 25 60
9 17 236
8 44 548
34 48 314
5 16 695
7 18 244
29 30 893
19 29 610
12 20 188
16 18 817
16 66 260
27 50 574
6 10 126
18 24 297
17 47 184
13 52 85
43 60 532
22 42 421
7 15 538
11 17 573
11 54 158
10 59 752
4 36 644
22 38 328
24 29 460
5 17 672
19 32 562
57 63 761
20 46 239
4 21 539
47 49 737
0 17 722
31 36 35
44 62 483
14 56 49
19 28 560
0 14 668
29 46 964
46 64 639
47 52 714
24 48 477
11 21 776
20 63 287
17 31 992
1 20 157
19 39 867
21 36 852
